  0.08  0.630957344 -0.000150904489
  0.08  0.501187234 -0.00048475177
  0.08  0.39810717 -0.000767751939
  0.08  0.316227766 -0.000877117382
  0.08  0.251188643 -0.000826928136
  0.08  0.199526231 -0.000707898313
  0.08  0.158489319 -0.000620279508
  0.08  0.125892541 -0.000638192835
  0.08  0.1 -0.000800805056
  0.08  0.0794328234 -0.00111788543
  0.08  0.0630957344 -0.00158000728
  0.08  0.0501187233 -0.002168047
  0.08  0.039810717 -0.00286001965
  0.08  0.0316227766 -0.00363513457
  0.08  0.0251188643 -0.00447569033
  0.08  0.0199526231 -0.0053675612
  0.08  0.0158489319 -0.00629990327
  0.08  0.0125892541 -0.00726451869
  0.08  0.00999999999 -0.00825514579
  0.08  0.00794328234 -0.00926681627
  0.08  0.00630957344 -0.0102953386
  0.08  0.00501187233 -0.0113369184
  0.08  0.0039810717 -0.0123879029
  0.08  0.00316227766 -0.0134446254
  0.08  0.00251188643 -0.0145033251
  0.08  0.00199526231 -0.0155601198
  0.08  0.00158489319 -0.0166110129
  0.08  0.00125892541 -0.01765192
  0.08  0.000999999999 -0.018678706
  0.08  0.000794328234 -0.0196872243
  0.08  0.000630957344 -0.0206733552
  0.08  0.000501187233 -0.02163304
  0.08  0.00039810717 -0.0225623101
  0.08  0.000316227766 -0.0234573111
  0.08  0.000251188643 -0.0243143213
  0.08  0.000199526231 -0.0251297677
  0.08  0.000158489319 -0.0259002377
  0.08  0.000125892541 -0.02662249
  0.08  9.99999998E-05 -0.0272934648
  0.08  7.94328233E-05 -0.0279102945
  0.08  6.30957343E-05 -0.0284703175
  0.08  5.01187233E-05 -0.0289710949
  0.08  3.9810717E-05 -0.0294104331
  0.08  3.16227765E-05 -0.0297864136
  0.08  2.51188643E-05 -0.0300974321
  0.08  1.99526231E-05 -0.0303422495
  0.08  1.58489319E-05 -0.0305200586
  0.08  1.25892541E-05 -0.0306305694
  0.08  9.99999998E-06 -0.0306741191
  0.08  7.94328233E-06 -0.0306518112
  0.08  6.30957343E-06 -0.0305656939
  0.08  5.01187233E-06 -0.0304189842
  0.08  3.9810717E-06 -0.0302163532
  0.08  3.16227765E-06 -0.0299642848
  0.08  2.51188643E-06 -0.0296715294
  0.08  1.99526231E-06 -0.0293496749
  0.08  1.58489319E-06 -0.0290138668
  0.08  1.25892541E-06 -0.0286837145
  0.08  9.99999997E-07 -0.0283844324
  0.085  0.630957344 -0.000168572124
  0.085  0.501187234 -0.000524166068
  0.085  0.39810717 -0.000812717776
  0.085  0.316227766 -0.000911547414
  0.085  0.251188643 -0.000848536335
  0.085  0.199526231 -0.000730516891
  0.085  0.158489319 -0.000668900396
  0.085  0.125892541 -0.00074217963
  0.085  0.1 -0.000988337781
  0.085  0.0794328234 -0.0014126129
  0.085  0.0630957344 -0.00199971948
  0.085  0.0501187233 -0.00272474836
  0.085  0.039810717 -0.00356076995
  0.085  0.0316227766 -0.0044831768
  0.085  0.0251188643 -0.00547156393
  0.085  0.0199526231 -0.00651004567
  0.085  0.0158489319 -0.00758673697
  0.085  0.0125892541 -0.00869289654
  0.085  0.00999999999 -0.00982202824
  0.085  0.00794328234 -0.0109690919
  0.085  0.00630957344 -0.0121298816
  0.085  0.00501187233 -0.0133005775
  0.085  0.0039810717 -0.0144774488
  0.085  0.00316227766 -0.0156566784
  0.085  0.00251188643 -0.0168342774
  0.085  0.00199526231 -0.0180060615
  0.085  0.00158489319 -0.0191676673
  0.085  0.00125892541 -0.0203145911
  0.085  0.000999999999 -0.0214422387
  0.085  0.000794328234 -0.0225459775
  0.085  0.000630957344 -0.0236211861
  0.085  0.000501187233 -0.0246632985
  0.085  0.00039810717 -0.0256678414
  0.085  0.000316227766 -0.0266304652
  0.085  0.000251188643 -0.0275469683
  0.085  0.000199526231 -0.0284133165
  0.085  0.000158489319 -0.0292256583
  0.085  0.000125892541 -0.029980338
