  0.08  0.630957344 -0.000339535099
  0.08  0.501187234 -0.00109069148
  0.08  0.39810717 -0.00172744186
  0.08  0.316227766 -0.00197351411
  0.08  0.251188643 -0.00186058831
  0.08  0.199526231 -0.0015927712
  0.08  0.158489319 -0.00139562889
  0.08  0.125892541 -0.00143593388
  0.08  0.1 -0.00180181138
  0.08  0.0794328234 -0.00251524223
  0.08  0.0630957344 -0.00355501639
  0.08  0.0501187233 -0.00487810574
  0.08  0.039810717 -0.00643504422
  0.08  0.0316227766 -0.00817905279
  0.08  0.0251188643 -0.0100703032
  0.08  0.0199526231 -0.0120770127
  0.08  0.0158489319 -0.0141747824
  0.08  0.0125892541 -0.0163451671
  0.08  0.00999999999 -0.018574078
  0.08  0.00794328234 -0.0208503366
  0.08  0.00630957344 -0.0231645118
  0.08  0.00501187233 -0.0255080664
  0.08  0.0039810717 -0.0278727816
  0.08  0.00316227766 -0.0302504071
  0.08  0.00251188643 -0.0326324814
  0.08  0.00199526231 -0.0350102695
  0.08  0.00158489319 -0.0373747789
  0.08  0.00125892541 -0.03971682
  0.08  0.000999999999 -0.0420270885
  0.08  0.000794328234 -0.0442962546
  0.08  0.000630957344 -0.0465150491
  0.08  0.000501187233 -0.04867434
  0.08  0.00039810717 -0.0507651978
  0.08  0.000316227766 -0.0527789499
  0.08  0.000251188643 -0.0547072229
  0.08  0.000199526231 -0.0565419772
  0.08  0.000158489319 -0.0582755348
  0.08  0.000125892541 -0.0599006026
  0.08  9.99999998E-05 -0.0614102958
  0.08  7.94328233E-05 -0.0627981627
  0.08  6.30957343E-05 -0.0640582144
  0.08  5.01187233E-05 -0.0651849635
  0.08  3.9810717E-05 -0.0661734744
  0.08  3.16227765E-05 -0.0670194306
  0.08  2.51188643E-05 -0.0677192222
  0.08  1.99526231E-05 -0.0682700613
  0.08  1.58489319E-05 -0.0686701318
  0.08  1.25892541E-05 -0.0689187812
  0.08  9.99999998E-06 -0.0690167679
  0.08  7.94328233E-06 -0.0689665753
  0.08  6.30957343E-06 -0.0687728112
  0.08  5.01187233E-06 -0.0684427145
  0.08  3.9810717E-06 -0.0679867946
  0.08  3.16227765E-06 -0.0674196408
  0.08  2.51188643E-06 -0.0667609411
  0.08  1.99526231E-06 -0.0660367686
  0.08  1.58489319E-06 -0.0652812004
  0.08  1.25892541E-06 -0.0645383575
  0.08  9.99999997E-07 -0.0638649728
