 # x,                          param                      ex act,                   param/exact                    param_old/exact
  0.99989408584647843        4005444.0393851250        4004544.5046882629        1.0002246284679341       0.98116168583242047     
  0.99988116390095316        3796742.5379521213        3795922.1408271790        1.0002161259094644       0.98203586615304173     
  0.99986666563720672        3596505.2040677345        3595762.3363246918        1.0002065953401698       0.98291041807438506     
  0.99985039881825277        3404480.6474663876        3403813.6169242859        1.0001959656482908       0.98378451344048001     
  0.99983214777728635        3220422.3502258202        3219829.3782234192        1.0001841625542061       0.98465727208700626     
  0.99981167056570774        3044088.6206887900        3043567.8398323059        1.0001711086737310       0.98552776020814226     
  0.99978869575493690        2875242.5473650540        2874791.9993886948        1.0001567236782540       0.98639498888461818     
  0.99976291885023427        2713651.9527985202        2713269.5866765976        1.0001409244860151       0.98725791273001184     
  0.99973399826976705        2559089.3474049149        2558773.0177249908        1.0001236255336963       0.98811542872784586     
  0.99970155083660273        2411331.8832740602        2411079.3489446640        1.0001047391200570       0.98896637527854292     
  0.99966514672511642        2270161.3079299787        2269970.2312140465        1.0000841758686103       0.98980953153294160     
  0.99962430379639755        2135363.9180497108        2135231.8640556335        1.0000618452713732       0.99064361700841397     
  0.99957848124955462        2006730.5131283258        2006654.9497294426        1.0000376563987214       0.99146729160874614     
  0.99952707250727713        1884056.3490953434        1884034.6474189758        1.0000115187246674       0.99227915603824135     
  0.99946939724451800        1767141.0918680576        1767170.5273776054       0.99998334314142756       0.99307775272752874     
  0.99940469245863717        1655788.7708430842        1655866.5250864029       0.99995304316975997       0.99386156732561370     
  0.99933210246768467        1549807.7323176414        1549930.8954184055       0.99992053639221712       0.99462903083689602     
  0.99925066771061222        1449010.5928363076        1449176.1668150425       0.99988574613457881       0.99537852248361702     
  0.99915931220897780        1353214.1924574366        1353419.0954519510       0.99984860344057280       0.99610837339737124     
  0.99905682953405062        1262239.5479346288        1262480.6194071770       0.99980904936769532       0.99681687122916030     
  0.99894186710603239        1175911.8058079702        1176185.8128265142       0.99976703764357988       0.99750226578160750     
  0.99881290863329653        1094060.1954004345        1094363.8400757909       0.99972253772992414       0.99816277577632628     
  0.99866825447903107        1016517.9817161850        1016847.9098891020       0.99967553832809375       0.99879659685747491     
  0.99850599972039411        943122.41823747172        943475.22949451208       0.99962605138321503       0.99940191095486008     
  0.99832400964122603        873714.69961811323        874086.95872321725       0.99957411662376505       0.99997689710828097     
  0.99811989237352894        808139.91427401709        808528.16409096122       0.99951980668801976        1.0005197438653137     
  0.99789096837538660        746246.99687171646        746647.77284654975       0.99946323287980177        1.0010286633495551     
  0.99763423640392390        687888.68071973161        688298.52698445320       0.99940455158822261        1.0015019070792854     
  0.99734633561153985        632921.45006915485        633336.93720592558       0.99934397141179898        1.0019377836091912     
  0.99702350336240919        581205.49233491870        581623.23683048785       0.99928176099385990        1.0023346780166507     
  0.99666152833469657        532604.65025235224        533021.33563985676       0.99921825758249561        1.0026910732367988     
  0.99625569844289652        486986.37398989289        487398.77364879102       0.99915387628940711        1.0030055731806808     
  0.99580074308529343        444221.67324431299        444626.67479100078       0.99908911999740413        1.0032769275049942     
  0.99529076919522541        404185.06935260905        404579.70050912350       0.99902458982490261        1.0035040578059582     
  0.99471919055357072        366754.54746263888        367136.00323295966       0.99896099601520494        1.0036860848955356     
  0.99407864980620020        331811.50881458452        332177.17973623425       0.99889916904604925        1.0038223566441598     
  0.99336093262728264        299240.72319549770        299588.22435341775       0.99884007070481473        1.0039124756801070     
  0.99255687348143151        268930.28164124407        269257.48204372264       0.99878480478984266        1.0039563259403896     
  0.99165625246989753        240771.54947219457        241076.60128261335       0.99873462704884752        1.0039540967019385     
  0.99064768280480675        214659.11976203413        214940.48676514532       0.99869095391312368        1.0039063021764008     
  0.98951848854872959        190490.76735094207        190747.25190122053       0.99865536961753310        1.0038137939918144     
  0.98825457239434500        168167.40352527588        168398.17108316952       0.99862963144783989        1.0036777627256499     
  0.98684027345229453        147593.03149335046        147797.63170577353       0.99861567326849743        1.0034997228296121     
  0.98525821527840485        128674.70278912662        128853.08591744467       0.99861560841133179        1.0032814722755410     
  0.98348914472063087        111322.47472967360        111475.00208211318       0.99863173492181478        1.0030250129865468     
  0.98151176262016993        95449.369034248346        95576.815930935205       0.99866655008910366        1.0027324084223586     
  0.97930254798156857        80971.331678279734        81074.881384739681       0.99872278929439862        1.0024055357167969     
  0.97683557795678477        67807.193998750998        67888.421029657722       0.99880352157739483        1.0020456502089927     
  0.97408234689313788        55878.634982366828        55939.476232053377       0.99891237362619978        1.0016525913973051     
  0.97101158880027738        45110.144548216645        45152.856883938541       0.99905405020480353        1.0012232417418123     
  0.96758910892060779        35428.987476992996        35456.090777511650       0.99923558125206957        1.0007482555099700     
  0.96377763166054364        26765.167436327447        26779.372618372145       0.99946954761610241        1.0002042071415465     
  0.95953667396763564        19051.390308442056        19055.512701418076       0.99978366402202801       0.99953118863395518     
  0.95482245531815246        12223.025752249556        12219.885293492116        1.0002569957640366       0.99854965101383253     
  0.94958785778702415        6218.0656497618857        6210.3767930423492        1.0012380660587537       0.99646255291358810     
  0.94378245215257328        977.07783556573122        967.33377110032598        1.0100731151506490       0.97651481188842248     
  0.93735260854611313       -3556.8466511195511       -3566.4889585526544       0.99729641461247753        1.0058764419202511     
  0.93024171264109379       -7438.1545356233819       -7445.9800383432594       0.99894902985509226        1.0023616738103320     
  0.92239051057062460       -10718.900944396893       -10723.722767297411       0.99955035923576629        1.0012472052392587     
  0.91373760736916620       -13448.830460599120       -13450.045457330009       0.99990966597587028        1.0006666355626459     
  0.90422014436961407       -15675.468155129940       -15673.070510320715        1.0001529786271073        1.0003094803017534     
  0.89377468017814643       -17444.218399159723       -17438.761682183220        1.0003129073655543        1.0000784545016832     
  0.88233829704694144       -18798.467006698716       -18790.968896958570        1.0003990273083450       0.99993171065783992     
  0.86984994907430913       -19779.679703207312       -19771.469874096016        1.0004152361540934       0.99984651516144274     
