# Q =     5.0000
# x  F1Wp(LO) F1Wm(LO) F1Wp(NLO) F1Wm(NLO) F1Wp(NNLO) F1Wm(NNLO) F1Wp(N3LO) F1Wm(N3LO) F1Z(LO) F1Z(NLO) F1Z(NNLO) F1Z(N3LO) F1γ(LO) F1γ(NLO) F1γ(NNLO) F1γ(N3LO)
    9.525741268224E-01    1.297586962268E-04    3.398805420951E-06    1.475340479368E-04    4.270828905194E-06    1.247167538993E-04    3.953541468457E-06    9.231644038281E-05    3.206340512006E-06    3.906484273280E-05    4.456794618960E-05    3.780337349813E-05    2.808702284822E-05    2.902400978918E-05    3.302247580828E-05    2.793426570651E-05    2.069196639347E-05
    9.495497393321E-01    1.598439849208E-04    4.454365388351E-06    1.765868780986E-04    5.447294341703E-06    1.457528031223E-04    4.931052650021E-06    1.055034009443E-04    3.917868483757E-06    4.822221373152E-05    5.346970862721E-05    4.429574144683E-05    3.219382992031E-05    3.576823479823E-05    3.954396082680E-05    3.266318232361E-05    2.366169785592E-05
    9.463433479928E-01    1.967869271820E-04    5.833124274596E-06    2.111339287324E-04    6.939404808790E-06    1.700897554987E-04    6.140838436026E-06    1.203475748194E-04    4.778391418875E-06    5.949778453539E-05    6.408969814920E-05    5.183633622240E-05    3.683899819678E-05    4.405432063198E-05    4.730389410794E-05    3.813851338738E-05    2.700791610241E-05
    9.429454174011E-01    2.421144898551E-04    7.632239292349E-06    2.521555030473E-04    8.828967665683E-06    1.981888843383E-04    7.635177916757E-06    1.370098640663E-04    5.816573548997E-06    7.337262135563E-05    7.674400994650E-05    6.057904191020E-05    4.208010188677E-05    5.422698243529E-05    5.652465471725E-05    4.446565958716E-05    3.076795353326E-05
    9.393460966843E-01    2.976826864366E-04    9.977380698853E-06    3.007917458251E-04    1.121802060261E-05    2.305629125047E-04    9.477226141117E-06    1.556565318045E-04    7.065877754118E-06    9.043428762345E-05    9.180285375791E-05    7.069679064120E-05    4.797806911752E-05    6.670563691576E-05    6.746526136213E-05    5.176205568331E-05    3.498059608471E-05
    9.355352341624E-01    3.657442166896E-04    1.303083672262E-05    3.583648618697E-04    1.423351095278E-05    2.677786875870E-04    1.174300749864E-05    1.764567753696E-04    8.565166325032E-06    1.113995747176E-04    1.096987733869E-04    8.238308619195E-05    5.459669934061E-05    8.199988181148E-05    8.042656789324E-05    6.015787446334E-05    3.968557607996E-05
    9.315023962757E-01    4.490290541412E-04    1.700182442737E-05    4.264034335377E-04    1.803295128703E-05    3.104591741602E-04    1.452369336801E-05    1.995795348265E-04    1.035931715860E-05    1.371418287074E-04    1.309358422587E-04    9.585343475718E-05    6.200196370577E-05    1.007279743954E-04    9.575697875596E-05    6.979659427397E-05    4.492289567801E-05
    9.272368912356E-01    5.508401852209E-04    2.215957118468E-05    5.066687654334E-04    2.281122058638E-05    3.592844918752E-04    1.792817942942E-05    2.251894188472E-04    1.249983427681E-05    1.687237261845E-04    1.560998772779E-04    1.113466095906E-04    7.026104611065E-05    1.236388297538E-04    1.138586775315E-04    8.083537054874E-05    5.073195343852E-05
    9.227277978633E-01    6.751670013635E-04    2.884986320790E-05    6.011830862358E-04    2.880869843021E-05    4.149916729381E-04    2.208596983627E-05    2.534416194184E-04    1.504542344589E-05    2.074364882538E-04    1.858696914275E-04    1.291256570532E-04    7.944107651332E-05    1.516381328715E-04    1.351943408105E-04    9.344513898457E-05    5.715044370507E-05
    9.179640000863E-01    8.268191604825E-04    3.751591572594E-05    7.122593128159E-04    3.632093571445E-05    4.783727560294E-04    2.715036334319E-05    2.844756856873E-04    1.806249383174E-05    2.548466727265E-04    2.210293751784E-04    1.494785305983E-04    8.960750405692E-05    1.858192371542E-04    1.602942826649E-04    1.078103647296E-04    6.421299768166E-05
    9.129342275597E-01    1.011584061699E-03    4.872460750209E-05    8.425319252962E-04    4.571007764706E-05    5.502707737433E-04    3.330191965522E-05    3.184080302095E-04    2.162553498342E-05    3.128518504016E-04    2.624815557172E-04    1.727182154250E-04    1.008220540305E-04    2.274996049477E-04    1.897639407077E-04    1.241283376059E-04    7.194953505948E-05
    9.076271028638E-01    1.236411407521E-03    6.319934430402E-05    9.949883100040E-04    5.741826060044E-05    6.315731304295E-04    4.075216159157E-05    3.553230504252E-04    2.581730492194E-05    3.837466506716E-04    3.112615292880E-04    1.991821804664E-04    1.131402103740E-04    2.782636309470E-04    2.242915722229E-04    1.426078986595E-04    8.038329639181E-05
    9.020311957024E-01    1.509628649527E-03    8.186107500137E-05    1.172999696649E-03    7.198320075562E-05    7.232018088092E-04    4.974743916752E-05    3.952627654692E-04    3.072874983276E-05    4.703008525462E-04    3.685520933156E-04    2.292309662306E-04    1.266081646928E-04    3.400127747504E-04    2.646559770952E-04    1.634674685726E-04    8.952852937301E-05
    8.961350844877E-01    1.841191410779E-03    1.058792830980E-04    1.380350544168E-03    9.005617537190E-05    8.260997910829E-04    6.057284430603E-05    4.382148955317E-04    3.645855904257E-05    5.758513959485E-04    4.356988192672E-04    2.632456875825E-04    1.412591742591E-04    4.150240107228E-04    3.117340025190E-04    1.869322345564E-04    9.938780723039E-05
    8.899274256375E-01    2.242973230780E-03    1.367351175085E-04    1.621264915311E-03    1.124225622239E-04    9.412130377929E-04    7.355601869256E-05    4.840993494552E-04    4.311224105579E-05    7.044103896962E-04    5.142254022630E-04    3.016242007526E-04    1.571092758663E-04    5.060176773839E-04    3.665075121553E-04    2.132303401781E-04    1.099489649567E-04
