# Q =    10.0000
# x  F1Wp(LO) F1Wm(LO) F1Wp(NLO) F1Wm(NLO) F1Wp(NNLO) F1Wm(NNLO) F1Wp(N3LO) F1Wm(N3LO) F1Z(LO) F1Z(NLO) F1Z(NNLO) F1Z(N3LO)
    9.999938558254E-01    3.832918354167E-12   -8.222724893938E-15    1.135334013141E-11   -4.125915574668E-15    1.732303275727E-11    2.256937840299E-14    1.818960565270E-11    6.724645469898E-14    1.113345961786E-12    3.305357490454E-12    5.054131337798E-12    5.323232516487E-12
    9.999930724679E-01    4.318721667720E-12   -9.261568507428E-15    1.279081907741E-11   -4.644734782536E-15    1.951482245112E-11    2.542782583925E-14    2.048910117545E-11    7.575474817707E-14    1.254458268025E-12    3.723859614940E-12    5.693604326615E-12    5.996188159552E-12
    9.999921892363E-01    4.865684624810E-12   -1.043028559300E-14    1.440886111917E-11   -5.227751792128E-15    2.198151159110E-11    2.864555270075E-14    2.307648275441E-11    8.533012715231E-14    1.413336084233E-12    4.194930551782E-12    6.413281816147E-12    6.753395398664E-12
    9.999911933973E-01    5.481394914674E-12   -1.174473964861E-14    1.622975706245E-11   -5.882626544844E-15    2.475692504363E-11    3.226697016666E-14    2.598703240974E-11    9.610386327889E-14    1.592183557662E-12    4.725060104905E-12    7.223032605700E-12    7.605179915277E-12
    9.999900705943E-01    6.174351225500E-12   -1.322262982039E-14    1.827844372574E-11   -6.617854836842E-15    2.787887230420E-11    3.634177518334E-14    2.926015027328E-11    1.082226780767E-13    1.793469497341E-12    5.321508472788E-12    8.133888076796E-12    8.563072650515E-12
    9.999888046405E-01    6.954064330995E-12   -1.488367494057E-14    2.058278905834E-11   -7.442837419623E-15    3.138956833034E-11    4.092552316810E-14    3.293977893195E-11    1.218503677055E-13    2.019956748913E-12    5.992389269265E-12    9.158164983617E-12    9.639934011208E-12
    9.999873772854E-01    7.831167082226E-12   -1.674980776504E-14    2.317389983870E-11   -8.367948052212E-15    3.533608513652E-11    4.608024667562E-14    3.707485560928E-11    1.371695430414E-13    2.274734159496E-12    6.746759121728E-12    1.030959722072E-11    1.085008622749E-11
    9.999857679520E-01    8.817533404759E-12   -1.884537724172E-14    2.608645127041E-11   -9.404597827008E-15    3.977083219332E-11    5.187511872612E-14    4.171978906583E-11    1.543834756051E-13    2.561251162534E-12    7.594713648844E-12    1.160347599728E-11    1.220945294984E-11
    9.999839534398E-01    9.926406152383E-12   -2.119735547787E-14    2.935903681389E-11   -1.056529211407E-14    4.475206196879E-11    5.838715746280E-14    4.693495608780E-11    1.737180324559E-13    2.883354940556E-12    8.547489335115E-12    1.305679734993E-11    1.373570458482E-11
    9.999819075909E-01    1.117253332527E-11   -2.383554454463E-14    3.303453527758E-11   -1.186367521659E-14    5.034439469435E-11    6.570196604201E-14    5.278720980943E-11    1.954236732365E-13    3.245330024316E-12    9.617570437223E-12    1.468841526837E-11    1.544840710091E-11
    9.999796009127E-01    1.257231169860E-11   -2.679277626865E-14    3.716049046062E-11   -1.331455623830E-14    5.661935350055E-11    7.391449796536E-14    5.935038874867E-11    2.197774694669E-13    3.651940053002E-12    1.081879955328E-11    1.651919785095E-11    1.736917105041E-11
    9.999770001531E-01    1.414393629596E-11   -3.010509559328E-14    4.178949638593E-11   -1.493390765108E-14    6.365589728966E-11    8.312983317945E-14    6.670581116634E-11    2.470850891041E-13    4.108471243007E-12    1.216648983058E-11    1.857218280494E-11    1.952179630351E-11
    9.999740678211E-01    1.590755334227E-11   -3.381191479962E-14    4.697957826138E-11   -1.673882552078E-14    7.154093390022E-11    9.346394386848E-14    7.494273400611E-11    2.776826672468E-13    4.620776881054E-12    1.367753594345E-11    2.087272720278E-11    2.193240642323E-11
    9.999707616466E-01    1.788541330568E-11   -3.795612169949E-14    5.279455563542E-11   -1.874743719460E-14    8.036979009601E-11    1.050444205957E-13    8.415874908388E-11    3.119384555414E-13    5.195321860452E-12    1.537051990439E-11    2.344864464752E-11    2.462956468031E-11
    9.999670339715E-01    2.010201933678E-11   -4.258411963692E-14    5.930436960919E-11   -2.097873834177E-14    9.024660744743E-11    1.180111188298E-13    9.446008118870E-11    3.502541067981E-13    5.839225902188E-12    1.726580643240E-11    2.633032082326E-11    2.764436136142E-11
    9.999628310629E-01    2.258426478132E-11   -4.774577051930E-14    6.658535026135E-11   -2.345233642003E-14    1.012846240470E-10    1.325166723596E-13    1.059617431964E-10    3.930654058122E-13    6.560303629680E-12    1.938562094195E-11    2.955079574254E-11    3.101045922238E-11
    9.999580923390E-01    2.536155143644E-11   -5.349420388906E-14    7.472039350608E-11   -2.618807176040E-14    1.136062910754E-10    1.487268030847E-13    1.187874921923E-10    4.408422005865E-13    7.367099084726E-12    2.175410119810E-11    3.314579781453E-11    3.476408068239E-11
    9.999527494967E-01    2.846587778075E-11   -5.988544491024E-14    8.379900827298E-11   -2.920548032890E-14    1.273431603621E-10    1.668203353781E-13    1.330695180211E-10    4.940872176876E-13    8.268911565346E-12    2.439731125942E-11    3.715371109992E-11    3.894391666511E-11
    9.999467255272E-01    3.193188350836E-11   -6.697780176165E-14    9.391718512482E-11   -3.252305365615E-14    1.426354643465E-10    1.869887969441E-13    1.489477820827E-10    5.533333591239E-13    9.275808826134E-12    2.734320348657E-11    4.161545281689E-11    4.359093299910E-11
    9.999399336076E-01    3.579683333445E-11   -7.483093795026E-14    1.051770262690E-10   -3.615724122750E-14    1.596312935853E-10    2.094354560555E-13    1.665689104395E-10    6.191389736041E-13    1.039862270789E-11    3.062151114818E-11    4.657423341293E-11    4.874804624521E-11
